timestamp_utc,overall_vibration_value,speed_value,skin_temperature_value,motor_supply_frequency_value,output_power_value,peak_to_peak_tangential_value,vibration_radial_value,vibration_tangential_value,vibration_axial_value,acceleration_rms_axial_value,acceleration_rms_tangential_value,acceleration_rms_radial_value,axial_per_kW,radial_acc_per_RPM,Total_Vib_Energy,temp_vibration_factor,peak_to_peak_sub_score,overall_vibration_sub_score,skin_temperature_sub_score
2026-04-25 03:39:01,1.942,1701.5,39.0,57.06,4.53,2.8359,0.964,1.902,1.942,0.282,0.4436,0.1273,0.4277533039647577,0.07481633852483102,2.884140079815819,75.738,41.85851528384279,100.0,100.0
2026-04-25 08:39:01,2.365,1701.0,38.0,57.09,5.17,2.6016,1.244,2.365,1.935,0.2766,0.4031,0.1182,0.3735521235521236,0.06948853615520281,3.2992402155647897,89.87,58.2288209606987,100.0,100.0
2026-04-25 11:39:01,1.449,1699.5,46.3,57.09,5.83,2.6035,1.449,1.123,1.342,0.2622,0.4187,0.1115,0.22979452054794522,0.0656075316269491,2.2719361786810826,67.0887,58.09606986899564,100.0,96.23222748815166
2026-04-25 12:39:01,1.685,1701.4,44.7,57.09,4.98,2.3672,0.935,1.685,1.401,0.2617,0.3452,0.1152,0.2807615230460922,0.06770894557423299,2.3824884050085116,75.3195,74.6061135371179,100.0,98.12796208530806
2026-04-25 13:39:01,2.83,1701.2,45.2,57.09,5.09,2.3223,1.339,1.963,2.83,0.2698,0.3511,0.1243,0.5549019607843138,0.07306607100869973,3.695292951851044,127.91600000000001,77.74323144104805,100.0,97.53554502369667
2026-04-25 14:39:01,1.812,1699.9,49.6,57.09,5.64,2.5801,1.406,1.812,1.365,0.2615,0.4058,0.1211,0.24159292035398233,0.07123948467556915,2.668970775411376,89.8752,59.73100436681224,100.0,92.32227488151659
2026-04-25 16:39:01,1.713,1701.1,42.5,57.09,5.12,2.5938,1.172,1.364,1.713,0.2554,0.4082,0.1136,0.3339181286549708,0.06678031861736525,2.483636245507784,72.80250000000001,58.77379912663756,100.0,100.0
2026-04-25 20:39:01,1.444,1699.8,42.4,57.09,5.68,2.2793,1.444,1.15,1.09,0.2654,0.3567,0.1251,0.19156414762741655,0.07359689375220614,2.1437667783599967,61.22559999999999,80.28157894736842,100.0,100.0
2026-04-26 11:40:01,3.885,1449.8,33.2,48.62,4.36,3.4961,1.624,3.885,0.811,0.2764,0.5103,0.1709,0.18558352402745995,0.11787832804524762,4.288160677959723,128.982,0.0,100.0,100.0
2026-04-26 17:40:01,1.045,1260.0,37.4,42.28,3.55,2.7207,1.045,1.021,0.546,0.2217,0.4436,0.1305,0.15337078651685396,0.10357142857142858,1.5596736838197918,39.083,49.90742358078604,100.0,100.0
2026-04-26 18:40:01,0.982,1260.0,41.6,42.31,3.96,2.377,0.982,0.84,0.446,0.246,0.407,0.1222,0.11234256926952142,0.09698412698412699,1.367055229315919,40.8512,73.92139737991268,100.0,100.0
2026-04-26 22:40:01,0.918,1250.1,39.1,42.31,8.15,2.4902,0.918,0.841,0.599,0.2318,0.4319,0.1307,0.07340686274509803,0.10455163586913048,1.3815954545379772,35.893800000000006,66.0122270742358,100.0,100.0
2026-04-26 23:40:01,0.992,1260.4,40.1,42.31,3.81,2.3477,0.807,0.992,0.413,0.2419,0.4246,0.1228,0.10811518324607329,0.097429387496033,1.3438310905764905,39.7792,75.96855895196506,100.0,100.0
